,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,first_review,review_scores_rating,instant_bookable,calculated_host_listings_count,reviews_per_month
103,2041901,2012-03-31,within an hour,0.98,1.0,f,10.0,t,t,la Sagrada Familia,Eixample,Entire home/apt,6,1.0,2.0,4.0,136.0,3,1125,t,2,2012-11-07,4.48,t,9,0.97
104,1350468,2011-10-30,within an hour,1.0,0.99,f,1.0,t,t,el Barri Gotic,Ciutat Vella,Private room,2,1.0,1.0,1.0,69.0,31,1125,t,8,2012-05-24,4.52,f,1,1.57
105,1377744,2011-11-06,within a day,0.93,0.87,f,4.0,t,t,el Camp de l'Arpa del Clot,Sant Marti,Entire home/apt,6,1.5,3.0,4.0,129.0,3,200,t,0,2012-03-03,4.6,f,2,2.07
106,1697782,2012-02-04,within an hour,1.0,0.99,t,5.0,t,t,el Fort Pienc,Eixample,Private room,2,1.5,1.0,1.0,69.0,31,60,t,2,2012-07-05,4.73,f,2,2.19
107,1404293,2011-11-14,within a day,0.5,1.0,f,2.0,t,t,el Barri Gotic,Ciutat Vella,Entire home/apt,8,4.0,4.0,6.0,1000.0,2,14,t,13,2012-05-30,4.56,t,2,0.24
108,2201772,2012-04-23,within a few hours,0.8,0.81,f,17.0,t,t,l'Antiga Esquerra de l'Eixample,Eixample,Entire home/apt,3,1.0,2.0,2.0,391.0,1,365,t,10,2012-05-21,4.62,t,9,0.36
109,2202284,2012-04-23,within an hour,1.0,0.99,f,22.0,t,t,la Sagrada Familia,Eixample,Entire home/apt,5,1.0,2.0,3.0,156.0,4,1124,t,2,2012-07-11,4.65,t,19,1.24
111,2204578,2012-04-23,within an hour,1.0,0.85,t,1.0,t,t,el Barri Gotic,Ciutat Vella,Private room,1,1.0,1.0,1.0,35.0,31,31,t,11,2012-09-10,4.78,f,1,2.68
112,1405013,2011-11-14,within an hour,1.0,1.0,f,12.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,6,2.0,3.0,3.0,260.0,2,180,t,9,2012-04-23,4.51,t,12,0.32
114,1405013,2011-11-14,within an hour,1.0,1.0,f,12.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,6,2.0,2.0,3.0,277.0,2,180,t,1,2017-01-02,4.68,t,12,1.07
115,1267680,2011-10-09,within an hour,1.0,0.96,t,9.0,t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,4,1.0,1.0,2.0,155.0,4,1125,t,2,2012-05-28,4.71,f,5,1.51
116,2598629,2012-06-10,within an hour,1.0,1.0,t,3.0,t,t,la Vila de Gracia,Gracia,Private room,2,1.0,2.0,2.0,65.0,31,90,t,29,2014-01-01,4.73,f,3,1.24
117,1267680,2011-10-09,within an hour,1.0,0.96,t,9.0,t,t,el Raval,Ciutat Vella,Entire home/apt,3,1.0,1.0,2.0,164.0,4,1125,t,3,2012-06-14,4.8,f,5,1.35
118,1411775,2011-11-16,within an hour,1.0,0.85,f,6.0,t,t,la Sagrada Familia,Eixample,Entire home/apt,2,1.0,1.0,1.0,176.0,10,760,t,8,2018-01-01,4.7,t,2,1.13
